X,Y
77.157407,15.135508
77.175926,15.135494
77.194444,15.135479
77.212963,15.135462
77.231481,15.135444
77.25,15.135426
77.009259,15.153638
77.027778,15.153637
77.046296,15.153634
77.064815,15.153629
77.083333,15.153623
77.101852,15.153615
77.12037,15.153606
77.138889,15.153595
77.157407,15.153583
77.175926,15.153569
77.194444,15.153554
77.212963,15.153537
77.231481,15.153518
77.25,15.1535
77.009259,15.171713
77.027778,15.171712
77.046296,15.171709
77.064815,15.171704
77.083333,15.171698
77.101852,15.17169
77.12037,15.171681
77.138889,15.17167
77.157407,15.171658
77.212963,15.171612
77.231481,15.171593
77.25,15.171575
77.009259,15.189788
77.027778,15.189787
77.25,15.207725
77.009259,15.225938
77.027778,15.225936
77.046296,15.225933
77.064815,15.225929
77.083333,15.225922
77.101852,15.225915
77.12037,15.225905
77.138889,15.225895
77.157407,15.225882
77.175926,15.225868
77.194444,15.225853
77.212963,15.225836
77.231481,15.225818
77.25,15.225799
77.009259,15.24249
77.027778,15.242494
77.046296,15.242496
77.064815,15.242496
77.083333,15.242495
77.101852,15.242493
77.12037,15.242489
